POS,PLAYER,GP,G,A,P,PIM,+/-
D,D.Keith,4,0,1,1,2,1
C,K.Brodziak,4,0,0,0,0,0
D,J.Wisniewski,4,0,0,0,0,2
D,T.Van Riemsdyk,4,0,0,0,2,-7
RW,R.Panik,4,0,0,0,4,-1
C,A.Desjardins,4,0,0,0,0,0
C,J.Toews,4,0,0,0,0,-1
RW,R.Reeves,4,0,0,0,0,1
D,N.Hjalmarsson,4,0,0,0,0,-7
D,J.Bouwmeester,4,0,0,0,0,3
D,J.Edmundson,4,0,0,0,2,3
D,J.Oduya,4,0,0,0,0,-4
RW,M.Hossa,4,0,0,0,0,-7
D,B.Campbell,4,0,0,0,0,-3
LW,A.Panarin,4,2,0,2,0,-6
RW,P.Kane,4,0,1,1,0,-1
C,M.Kruger,4,0,1,1,0,-3
LW,M.Latta,4,1,0,1,0,1
RW,T.Jurco,4,0,1,1,0,-2
RW,R.Hartman,4,1,0,1,5,0
C,N.Schmaltz,4,1,0,1,0,-2
D,C.Gunnarsson,4,0,1,1,0,3
D,A.Pietrangelo,4,0,1,1,5,4
LW,J.Schwartz,4,3,2,5,0,4
LW,D.Perron,4,3,1,4,0,4
C,J.Lehtera,4,3,1,4,2,5
RW,V.Tarasenko,4,4,0,4,0,1
LW,A.Steen,4,0,3,3,2,1
C,P.Stastny,4,2,1,3,0,3
LW,V.Sobotka,4,0,3,3,2,1
D,C.Parayko,4,0,2,2,0,3
LW,R.Fabbri,4,1,1,2,0,3
D,B.Seabrook,4,1,1,2,0,2
RW,N.Yakupov,4,1,1,2,0,1
RW,P.Berglund,4,0,2,2,0,3
C,A.Anisimov,4,0,2,2,0,-5
